pddistrict,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BAYVIEW,866,1105,774,808,779,583,700,646,645,683,596,437,432,322,193,52
CENTRAL,319,319,172,227,299,392,383,260,181,224,237,349,208,207,147,74
INGLESIDE,349,356,309,357,451,403,392,552,323,290,327,288,212,190,164,63
MISSION,2071,1906,1563,1902,1518,1653,1484,1360,965,824,1022,806,643,633,437,170
NORTHERN,763,862,739,897,911,701,794,741,572,549,714,607,505,524,511,233
PARK,381,329,350,401,565,474,601,448,353,407,367,357,248,273,131,51
RICHMOND,138,153,90,165,180,137,185,209,127,176,169,166,61,76,92,20
SOUTHERN,2039,1652,1199,1289,1717,1956,2022,1729,1223,931,1284,951,696,913,755,341
TARAVAL,231,227,224,193,206,335,415,231,242,224,196,142,112,107,104,30
TENDERLOIN,2627,2883,3024,2704,3734,4822,4795,2860,2171,1999,1760,1221,1077,957,731,435
