Transaction,Award ID,Order Number,DUNS,Recipient,Recipient City,Recipient State,Recipient CD,Recipient Country,Pop State,Pop CD,Pop Country,Award Amount,Award Date,Award Type,Awarding Agency,Awarding Bureau,Funding Agency,Funding Bureau,CFDA Code,CFDA Title,Fiscal Year,Role
D499A051-CB20-62DA-D803-56F9E116B89E,"H-21592SG","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CA","Berkeley                    ","CA",13,"USA","CA",13,"USA","$26.00",06/06/2014,Grants,"Department of Housing and Urban Development","Assistant Secretary for Policy Development and Research","N/A","N/A","14.516","Doctoral Dissertation Research Grants",2014,Prime
391E2089-2EEB-DEEC-223E-823B3F5635F0,"H-21636SG","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CA","Berkeley                    ","CA",13,"USA","CA",13,"USA","$50.00",09/30/2014,Grants,"Department of Housing and Urban Development","Assistant Secretary for Policy Development and Research","N/A","N/A","14.516","Doctoral Dissertation Research Grants",2014,Prime
84082367-E188-480F-680A-B10FB5D6CD14,"H-21636SG","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CA","Berkeley                    ","CA",13,"USA","CA",13,"USA","($50.00)",09/30/2014,Grants,"Department of Housing and Urban Development","Assistant Secretary for Policy Development and Research","N/A","N/A","14.516","Doctoral Dissertation Research Grants",2014,Prime
9D6DFA2B-FCC4-45C2-79DA-FF3C7A3D0FAE,"H-21592SG","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CA","Berkeley                    ","CA",13,"USA","CA",13,"USA","($26.00)",06/06/2014,Grants,"Department of Housing and Urban Development","Assistant Secretary for Policy Development and Research","N/A","N/A","14.516","Doctoral Dissertation Research Grants",2014,Prime
847D8011-F629-3F9F-2E9B-140941956D08,"P13AC01010","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO NIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$8,766.00",08/05/2014,Grants,"Department of the Interior ","National Park Service.","N/A","N/A","15.945","Cooperative Research and Training Programs – Resources of the National Park System",2014,Prime
E39B168D-280D-4C6E-5A89-164D2A5E0CB6,"P13AC01251","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO NIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$55,000.00",09/09/2014,Grants,"Department of the Interior ","National Park Service.","N/A","N/A","15.945","Cooperative Research and Training Programs – Resources of the National Park System",2014,Prime
EEA69BB8-8A61-B1F1-AF21-814DAC1642A0,"P13AC01288","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO NIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$2,000.00",08/23/2014,Grants,"Department of the Interior ","National Park Service.","N/A","N/A","15.945","Cooperative Research and Training Programs – Resources of the National Park System",2014,Prime
208F7D0A-37D1-79EF-CF60-817D52F7ECB1,"L12AC20073","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO NIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$25,000.00",05/09/2014,Grants,"Department of the Interior ","Bureau of Land Management","N/A","N/A","15.231","Fish, Wildlife and Plant Conservation Resource Management",2014,Prime
3A7DEAD0-0103-AD01-2887-962A06184A49,"P13AC01010","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO NIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$47.00",09/17/2014,Grants,"Department of the Interior ","National Park Service.","N/A","N/A","15.945","Cooperative Research and Training Programs – Resources of the National Park System",2014,Prime
04A26395-9882-A81E-FF56-B94F5EFB503E,"P11AP10509","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO NIA, THE","Berkeley                    ","CA",09,"USA","CA",09,"USA","($956.00)",07/17/2014,Grants,"Department of the Interior ","National Park Service.","N/A","N/A","15.933","Preservation of Japanese American Confinement Sites",2014,Prime
5F040A84-4685-4C54-071A-DF2AFF21C730,"P13AC01251","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO NIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$25,000.00",09/23/2014,Grants,"Department of the Interior ","National Park Service.","N/A","N/A","15.945","Cooperative Research and Training Programs – Resources of the National Park System",2014,Prime
5256DE6B-E521-FAE9-0426-739D1BAC3CEB,"D13AP00046","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO NIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$244,319.00",08/01/2014,Grants,"Department of the Interior ","Office of Policy, Management and Budget/Chief Financial Officer","N/A","N/A","12.910","Research and Technology Development",2014,Prime
298405E7-4431-03DD-81CB-04D86C4B5ACF,"P12AC10724","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO NIA, THE","Berkeley                    ","CA",13,"USA","CA",04,"USA","$16,000.00",08/13/2014,Grants,"Department of the Interior ","National Park Service.","N/A","N/A","15.945","Cooperative Research and Training Programs – Resources of the National Park System",2014,Prime
6E51CDA8-E35D-A4F4-4CE6-06B7ACE6636B,"G14AP00040","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$64,879.00",03/31/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.807","Earthquake Hazards Research Grants",2014,Prime
C144F6A7-2CB2-7D37-E7AE-150F92D53AB4,"G14AC00390","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$20,000.00",09/19/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.808","U.S. Geological Survey_ Research and Data Collection",2014,Prime
121B86F6-F09B-2722-A55D-341BB8E88A7C,"L14AC00159","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$0.00",09/23/2014,Grants,"Department of the Interior ","Bureau of Land Management","N/A","N/A","15.232","Wildland Fire Research and Studies Program",2014,Prime
128A6F80-3A0E-74DE-C986-5A744526B01A,"G14AC00261","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$60,732.00",07/01/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.808","U.S. Geological Survey_ Research and Data Collection",2014,Prime
1E7B7C31-2818-8988-259B-678887BFB36D,"L14AC00173","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$472,463.00",08/13/2014,Grants,"Department of the Interior ","Bureau of Land Management","N/A","N/A","15.232","Wildland Fire Research and Studies Program",2014,Prime
D471308B-2D5A-12D4-886F-7477ABA62C0B,"D10AP00108","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",06,"USA","($103.00)",09/10/2014,Grants,"Department of the Interior ","Office of Policy, Management and Budget/Chief Financial Officer","N/A","N/A","12.910","Research and Technology Development",2014,Prime
37A3F1CC-D42D-B6A0-369E-7E39E844191C,"G12AC20085","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$85,000.00",03/31/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.808","U.S. Geological Survey_ Research and Data Collection",2014,Prime
308254D2-DA11-9CFF-FD3F-A2443ECB2D93,"P14AC01785","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$50,000.00",09/17/2014,Grants,"Department of the Interior ","National Park Service.","N/A","N/A","15.945","Cooperative Research and Training Programs – Resources of the National Park System",2014,Prime
5FE63E92-3F09-0C92-56CA-A74D57B19892,"G12AP20007","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",09,"USA","($1,217.00)",12/18/2013,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.807","Earthquake Hazards Research Grants",2014,Prime
FEFFC7ED-ACDB-F537-E911-B93D9D560E03,"G10AC00093","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",09,"USA","$727,453.00",01/10/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.807","Earthquake Hazards Research Grants",2014,Prime
9013762B-8887-202E-97B6-C00ACE9C9DE5,"L14AC00159","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$395,107.00",08/13/2014,Grants,"Department of the Interior ","Bureau of Land Management","N/A","N/A","15.232","Wildland Fire Research and Studies Program",2014,Prime
2B415D3E-42DB-F103-88C2-C7753BC50871,"G10AC00141","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",09,"USA","$79,590.00",02/24/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.807","Earthquake Hazards Research Grants",2014,Prime
A727579D-12C6-A6B4-C675-E9642FB4A48B,"G12AC20348","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",09,"USA","$250,000.00",07/17/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.808","U.S. Geological Survey_ Research and Data Collection",2014,Prime
11AC3C1D-4947-50E3-B8A4-EB47C706B480,"G12AP20034","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",09,"USA","($12.00)",01/30/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.807","Earthquake Hazards Research Grants",2014,Prime
F8CF83B6-4639-B06A-5403-ECF7973CC789,"G12AP20008","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",09,"USA","($976.00)",05/05/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.807","Earthquake Hazards Research Grants",2014,Prime
93C2746E-6214-722F-7067-F7A592D0BA8C,"P14AP00164","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","$287,265.00",09/01/2014,Grants,"Department of the Interior ","National Park Service.","N/A","N/A","15.933","Preservation of Japanese American Confinement Sites",2014,Prime
980051E1-5F24-52A8-6AC1-66AD78442833,"G12AP20097","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",09,"USA","($1,552.00)",02/20/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.807","Earthquake Hazards Research Grants",2014,Prime
E7077319-623D-38B2-128E-FE0A5AB12F38,"G12AP20096","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",09,"USA","($72.00)",04/17/2014,Grants,"Department of the Interior ","Geological Survey","N/A","N/A","15.807","Earthquake Hazards Research Grants",2014,Prime
6AA2C5AB-198B-56A7-ABAB-267E24C6D2FB,"L10AC20363","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",02,"USA","$0.00",09/16/2014,Grants,"Department of the Interior ","Bureau of Land Management","N/A","N/A","15.231","Fish, Wildlife and Plant Conservation Resource Management",2014,Prime
3CB59425-3C3B-6231-CF79-751B2EDB4F14,"L09AC15664","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFO RNIA, THE","Berkeley                    ","CA",13,"USA","CA",13,"USA","($3,151.00)",06/26/2014,Grants,"Department of the Interior ","Bureau of Land Management","N/A","N/A","15.231","Fish, Wildlife and Plant Conservation Resource Management",2014,Prime
B120738F-593C-918B-289C-23B2C7F28D19,"12CA11272139092","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",13,"USA","$33,320.00",08/06/2014,Grants,"Department of Agriculture","Forest Service","N/A","N/A","10.652","Forestry Research",2014,Prime
A8FA04B1-2DFE-1CAB-180A-5AE8ADFE6C84,"DTRT13GUTC39","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",09,"USA","CA",09,"USA","$2,570,700.00",05/01/2014,Grants,"Department of Transportation","Immediate Office of the Secretary of Transportation","N/A","N/A","20.701","University Transportation Centers Program",2014,Prime
2DD4A5C3-332E-93D2-07A3-601B7715399C,"MA-10-14-0223-14","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",13,"USA","$149,974.00",08/12/2014,Grants,"National Foundation on the Arts and the Humanities","Institute of Museum Services","N/A","N/A","45.301","Museums for America",2014,Prime
3216DF0A-D4DD-4C7F-0498-7062AC95708F,"MA-30-14-0244-14","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",13,"USA","$149,713.00",08/12/2014,Grants,"National Foundation on the Arts and the Humanities","Institute of Museum Services","N/A","N/A","45.301","Museums for America",2014,Prime
77388196-3489-B2C4-50C1-A432C19612BC,"DEFG0208ER15992","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",13,"USA","($2,573.00)",09/22/2014,Grants,"Department of Energy","Department of Energy","N/A","N/A","81.049","Office of Science Financial Assistance Program",2014,Prime
77E97827-9F6A-85DD-F1FC-FB282BF9E7CE,"12CA11272139092","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",13,"USA","$7,350.00",03/19/2014,Grants,"Department of Agriculture","Forest Service","N/A","N/A","10.652","Forestry Research",2014,Prime
685FDC72-B210-043E-CD16-19167DC571EC,"11DG11052021115","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",09,"USA","$5,000.00",05/22/2014,Grants,"Department of Agriculture","Forest Service","N/A","N/A","10.680","Forest Health Protection",2014,Prime
CA4729B5-98C8-CC47-12DA-5D665DB1FB35,"58-5335-3-002-2","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",07,"USA","$598,249.00",09/30/2014,Grants,"Department of Agriculture","Agricultural Research Service","N/A","N/A","10.001","Agricultural Research_Basic and Applied Research",2014,Prime
003ACC61-E658-2431-7344-5FB37A956373,"58-5335-3-002-1","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",07,"USA","$220,690.00",05/19/2014,Grants,"Department of Agriculture","Agricultural Research Service","N/A","N/A","10.001","Agricultural Research_Basic and Applied Research",2014,Prime
42881711-7155-9603-00F3-95DD2C0C31D4,"11DG11052021116","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",09,"USA","$50,000.00",05/16/2014,Grants,"Department of Agriculture","Forest Service","N/A","N/A","10.680","Forest Health Protection",2014,Prime
E4EFBF5A-B321-4BDD-92D6-E81E79433889,"10DG11052021243","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",09,"USA","$0.00",11/15/2013,Grants,"Department of Agriculture","Forest Service","N/A","N/A","10.678","Forest Stewardship Program",2014,Prime
4ED2F368-95C3-0D96-1485-F4740EC17FEC,"58-5335-4-001-0","N/A",124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA","Berkeley                    ","CA",13,"USA","CA",07,"USA","$300,000.00",08/15/2014,Grants,"Department of Agriculture","Agricultural Research Service","N/A","N/A","10.001","Agricultural Research_Basic and Applied Research",2014,Prime
